ARMOR,LONGSWD,KNIFE,FIRE_ROD,CLUB,DICE,STAFF,BOW,HALBERD,STICK,SHURIKEN,GELBLADE,FLAMBARD,ICEBARD,ZAPLANCE,EYEBALL,AXE,HAMMER,CHAKRAM,WHIP,LEEK,WOODSWD,RAPIER,PISTOL,MONKSTAF,THIEFSWD,BROADSWD,FLAIL,ICICLE,HOLYWTR,SCYTHE,TONFA,MALLET,BEAMSWD,LEXICON,HOT_WING,HOOK,FISHYROD,FISH,CLEAVER,FORK,SHOTGUN,SAW,GLOVE,SNAKEWIP,BONEROD,CHOC_ICE,POPSICLE,BAYONET,REAPER,GOLDDICE,8HANDER,RATTLE,STRAWMAN,CARROT,BAZOOKA,HOLYSTAF,GOLFCLUB,GRABBER,STUNGUN,CRYSTAL,COCKER,SCORPION,IRONCLAW,KATANA,CARD,HOSE,DEFENDER,DARKNIFE,BOUQUET,BROOM,SCISSORS,BOLTCANE,BRUSH,NITEDICE,PENCIL,MAGICWND,LOLLIPOP,UMBRELLA,LASERGUN,PENKNIFE,BUSTER,KUNAI,SET_SQR,FOXTAIL,DUCKWHIP,CUTLASS,THORNWHP,TIGERSWD,HALBERT,ANGELARW
HEROARMR,POWUP10,ACCUP10,,GROUNDED,,,ACCUP10,POWUP10,,,ELEMUP10,ELEMUP10,ELEMUP10,ELEMUP10,,POWUP20,GUARDUP10,,,,,ACCUP10,,,ACCUP10,POWUP20,POWUP10,,,,,,ELEMUP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALL,BIDE,,,,,,,,,,,,,POWUP40,,,,,,,,POWUP40,
RAGS,,ACCUP20,ELEMUP10,,,,,,ELEMUP10,,,,,,ELEMUP10,ACCUP20,,POWUP10,PETUP30,EARLY_BIRD,,,,HEALER,BIDE,,POWUP20,ELEMUP10,ELEMUP10,,,,,MGUARDUP20,,,,,,,,,,ELEMUP10,SPELL,RECOVERY2,RECOVERY2,,ELEMUP20,,,RECOVERY5,,RECOVERY2,,,POWUP30,,,,,,,,JAMMY,PROVOKE,,,LUCK_UP,MAGIC_HIT,,,NIGHT_OWL,CRITUP20,,WEAKNESSUP,,AVOID_RISK,,POWUP40,,,MADMAN,JAMMY,,,PARALYSE,,,
FABULOUS,,ACCUP20,ACCUP10,,CRITUP10,,,,SPDUP10,,,,,,,,,,MACH_HIT,STINKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROBAT,,,,,,,,,,,,,GOLDUP30,,,,EARLY_BIRD,UNFAIR,,,CRITUP40,,,,,,,,CRITUP40,,SUPERMACH,,,PETUP50
MAGIROBE,,,ELEMUP30,,,HEALER,,,,,,,,,ELEMUP30,,,,,,,,,ELEMUP30,ELEMUP10,,ACCUP10,,SPDUP10,,,,,MGUARDUP20,,,,,,,,,,,ELEMUP30,,,,,,,,,,,,,,,ELEMUP30,,,,,,,,,,DEMONDASH,,SPELL,,,,MGUARDUP30,,,,,,,,,,,,,,
DRAGON,POWUP10,,,POWUP10,,,,POWUP10,,,,ELEMUP20,,,,POWUP20,GROUNDED,,,,,,,,,ACCUP10,,,,,,,,,,,,,,POWUP10,,POWUP10,,PETUP30,,,,POWUP20,,,,,,,,,,,,,ACCUP10,,POWUP20,,,,GUARDUP20,,,,,,,,,,,MGUARDUP40,,,POWUP40,,,,,ACCUP40,,,,
NINJA,ACCUP20,DASH,,,,,,POWUP20,,MACH_HIT,,,,,,,,DASH,,,,ACCUP10,CRITUP20,,DEMONDASH,,,,,POWUP10,POWUP30,,,,,SPDUP20,,,ACCUP10,,,ARMTWISTER,,,,,,,,,,,,,NO_GUARD,,,,PARALYSE,,,,,POWUP20,ACCUP20,,,,,,,,,DEVIL_LUCK,,,,,,ACCUP40,,KILLER,,,,SPDUP30,SLOWHIT,SPDUP40,,
HUNTROBE,,ACCUP20,,,,,ACCUP30,,ELEMUP20,,,,,,,POWUP20,POWUP20,ACCUP10,PETUP30,,,,ACCUP20,,,,,WEAKNESSUP,,,,EXPUP10,,,,,RECOVERY2,RECOVERY2,,,CRITUP30,POWUP20,,,,,,,,,,,,,,,,,,,,,,,,,,,TREAUP20,,,,,,,,,,ACCUP20,,,,,KILLER,,,ACCUP30,,,ACCUP40
SHOGUN,POWUP20,ACCUP20,,,,,ACCUP20,GROUNDED,,ACCUP10,WEAKNESSUP,ELEMUP20,SLOWHIT,PARALYSE,,POWUP20,,,,,,CRITUP10,,,,POWUP20,,,,,GUARDUP20,,,,,,MGUARDUP10,,,,,POWUP20,,,,,,,BIDE,,,,,,,GUARDUP10,,,,,CRITUP10,,,ARMTWISTER,,,,,,,,,,,,,,,,,GUARDUP30,POWUP40,,,,ARMTWISTER,,POWUP40,,
FROGSUIT,,,,,,,,,SPDUP20,,ELEMUP20,,,,,,,,,,,,,,,,,ACCUP10,MGUARDUP30,,,POWUP10,,,,,,GUARDUP10,,,,,,PARALYSE,,,,,,,ELEMUP20,,,,,,,,,,,,,,,ABSORPTION,,,GROUNDED,,,,,,POWUP30,,,COUNTER,,,,,,,,,,,,
LEAF,,ACCUP10,,ARMTWISTER,,,,,ELEMUP30,,,,,,,,,,MGUARDUP20,MACH_HIT,,SPDUP10,,,SURPRISE,,,,,,,,,SPDUP20,,,ACCUP20,PETUP30,,,,,POWUP10,,,,,,,,GUTS,,,,,,,,,,,,,,,,,,,SPDUP30,,,,,BIDE,,,,,SPDUP20,,,,SPDUP40,POWUP40,,SPDUP20,,,
